,model_num, Base_head, base_slope_well, base_slope_farm, base_leak
0,2222222,321.0767822,0.000121959,0.000128736,28829.71078
1,2221222,320.9449768,0.000155584,0.000143018,35647.87143
2,2223222,321.2053223,8.94E-05,0.000114818,21991.44376
3,2222221,318.2357178,0.000113536,8.46E-05,12863.11881
4,2222223,321.1903076,0.000113548,0.000127846,35379.59733
5,2222212,321.0941162,0.000121662,0.000128662,27341.44797
6,2222232,321.0596008,0.000122256,0.000128808,30304.78466
7,2221331,315.0296631,0.000119263,5.83E-05,17704.91803
8,2223113,321.2597656,7.92E-05,0.000111844,24611.17395
9,3222223,321.1654663,9.31E-05,0.000136584,153150.5186
10,1222221,321.7171326,0.00026446,0.000103055,464.7767456
